csv_row_index,reference_id,formatted_address,utility_name,utility_eiaid,upfront_incentive,install_incentive,ongoing_incentive,is_eligible,connect_url,status,error_message
0,portfolio:44372:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
1,portfolio:8901:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
2,portfolio:16604:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
3,portfolio:1015:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
4,portfolio:55937:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
5,portfolio:14626:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
6,portfolio:3278:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
7,portfolio:5701:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
8,portfolio:5078:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
9,portfolio:17718:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
10,portfolio:17698:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
11,portfolio:11501:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
12,portfolio:19159:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
13,portfolio:1892:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
14,portfolio:40051:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
15,portfolio:7752:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
16,portfolio:7559:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
17,portfolio:19490:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
18,portfolio:16613:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
19,portfolio:6182:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
20,portfolio:18976:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
21,portfolio:6958:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
22,portfolio:20404:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
23,portfolio:5063:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
24,portfolio:2442:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
25,portfolio:17561:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
26,portfolio:13418:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
27,portfolio:2409:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
28,portfolio:13830:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
29,portfolio:19579:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
30,portfolio:3940:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
31,portfolio:4975:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
32,portfolio:3282:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
33,portfolio:12452:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
34,portfolio:1175:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
35,portfolio:20927:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
36,portfolio:2049:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
37,portfolio:16638:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
38,portfolio:12268:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
39,portfolio:7129:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
40,portfolio:8620:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
41,portfolio:3470:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
42,portfolio:28978:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
43,portfolio:8898:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
44,portfolio:9668:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
45,portfolio:19806:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
46,portfolio:28604:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
47,portfolio:20948:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
48,portfolio:7979:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
49,portfolio:16146:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
50,portfolio:55982:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
51,portfolio:13332:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
52,portfolio:16461:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
53,portfolio:27369:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
54,portfolio:6427:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
55,portfolio:4262:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
56,portfolio:9590:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
57,portfolio:7634:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
58,portfolio:6183:residential:battery,,,,0.00,0.00,0.00,false,,FAILED,"customer_devices[].partner_device_reference must match ^[A-Za-z0-9_-]{1,64}$"
