csv_row_index,reference_id,formatted_address,utility_name,utility_eiaid,upfront_incentive,install_incentive,ongoing_incentive,is_eligible,connect_url,status,error_message
0,portfolio-44372-residential-battery,,Oncor Electric Delivery Company LLC,44372,0.00,1.65,1.65,true,https://staging.connect.incentives.leap.energy/LeapfrogPower/refId/portfolio-44372-residential-battery,COMPLETED,
1,portfolio-8901-residential-battery,,CenterPoint Energy,8901,0.00,1.65,1.65,true,https://staging.connect.incentives.leap.energy/LeapfrogPower/refId/portfolio-8901-residential-battery,COMPLETED,
2,portfolio-16604-residential-battery,,City of San Antonio - (TX),16604,0.00,0.00,0.00,false,,COMPLETED,
3,portfolio-1015-residential-battery,,Austin Energy,1015,0.00,0.00,0.00,false,,COMPLETED,
4,portfolio-55937-residential-battery,,Entergy Texas Inc.,55937,0.00,0.00,0.00,false,,COMPLETED,
5,portfolio-14626-residential-battery,,"Pedernales Electric Coop, Inc",14626,0.00,0.00,0.00,false,,COMPLETED,
6,portfolio-3278-residential-battery,,AEP Texas Central Company,3278,0.00,1.65,1.65,true,https://staging.connect.incentives.leap.energy/LeapfrogPower/refId/portfolio-3278-residential-battery,COMPLETED,
7,portfolio-5701-residential-battery,,El Paso Electric Co,5701,0.00,0.00,0.00,false,,COMPLETED,
8,portfolio-5078-residential-battery,,"Denton County Elec Coop, Inc",5078,0.00,0.00,0.00,false,,COMPLETED,
9,portfolio-17718-residential-battery,,Southwestern Public Service Co,17718,0.00,0.00,0.00,false,,COMPLETED,
10,portfolio-17698-residential-battery,,Southwestern Electric Power Co,17698,0.00,0.00,0.00,false,,COMPLETED,
11,portfolio-11501-residential-battery,,Magic Valley Electric Coop Inc,11501,0.00,0.00,0.00,false,,COMPLETED,
12,portfolio-19159-residential-battery,,"Tri-County Electric Coop, Inc (TX)",19159,0.00,0.00,0.00,false,,COMPLETED,
13,portfolio-1892-residential-battery,,"Bluebonnet Electric Coop, Inc",1892,0.00,0.00,0.00,false,,COMPLETED,
14,portfolio-40051-residential-battery,,Texas-New Mexico Power Co,40051,0.00,1.65,1.65,true,https://staging.connect.incentives.leap.energy/LeapfrogPower/refId/portfolio-40051-residential-battery,COMPLETED,
15,portfolio-7752-residential-battery,,Guadalupe Valley Elec Coop Inc,7752,0.00,0.00,0.00,false,,COMPLETED,
16,portfolio-7559-residential-battery,,"Grayson-Collin Elec Coop, Inc",7559,0.00,0.00,0.00,false,,COMPLETED,
17,portfolio-19490-residential-battery,,United Electric Coop Service Inc - (TX),19490,0.00,0.00,0.00,false,,COMPLETED,
18,portfolio-16613-residential-battery,,Sam Houston Electric Coop Inc,16613,0.00,0.00,0.00,false,,COMPLETED,
19,portfolio-6182-residential-battery,,"Farmers Electric Coop, Inc - (TX)",6182,0.00,0.00,0.00,false,,COMPLETED,
20,portfolio-18976-residential-battery,,Trinity Valley Elec Coop Inc,18976,0.00,0.00,0.00,false,,COMPLETED,
21,portfolio-6958-residential-battery,,City of Garland - (TX),6958,0.00,0.00,0.00,false,,COMPLETED,
22,portfolio-20404-residential-battery,,AEP Texas North Company,20404,0.00,1.65,1.65,true,https://staging.connect.incentives.leap.energy/LeapfrogPower/refId/portfolio-20404-residential-battery,COMPLETED,
23,portfolio-5063-residential-battery,,City of Denton - (TX),5063,0.00,0.00,0.00,false,,COMPLETED,
24,portfolio-2442-residential-battery,,City of Bryan - (TX),2442,0.00,0.00,0.00,false,,COMPLETED,
